album,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Marry You,Bruno Mars,spotify:track:22PMfvdz35fFKYnJyMn077,0.621,0.82,10,-4.865,1,0.0367,0.332,0.0,0.104,0.452,144.905
Dust in the Wind,"The Hit Co., The Tribute Co.",spotify:track:0EycxtLQimD0jgscVwTQBz,0.502,0.239,9,-14.54,0,0.0308,0.436,1.65e-06,0.0966,0.403,93.733
Everybody Hurts,The Hit Co.,spotify:track:2QVA6ZKunwNJApyPKvIJ6S,0.32,0.311,2,-12.753,1,0.029,0.444,0.000709,0.128,0.434,188.298
The Sound of Silence,Simon & Garfunkel,spotify:track:7eQUgarLukHLkZaO1mxtab,0.531,0.217,6,-13.883,1,0.0302,0.871,2.59e-06,0.101,0.34,106.842
Utopia (feat. Chris Jones),Within Temptation,spotify:track:0rZQcqysLosoc46Vv6I54b,0.459,0.591,6,-6.445,1,0.0296,0.0298,0.0,0.165,0.164,113.324
Sinéad,Within Temptation,spotify:track:6agaR8uXdeycsvlxtZvKMW,0.53,0.823,2,-4.066,1,0.0321,0.00349,0.0,0.144,0.163,116.975
Faster,Within Temptation,spotify:track:09whmgWfGHPys6k3M9Athv,0.503,0.923,6,-2.864,0,0.0412,0.00119,0.000474,0.117,0.515,120.007
Highwayman,The Highwaymen,spotify:track:0KLGjcaznMqpUwxAws0KwL,0.671,0.524,11,-10.407,0,0.0371,0.528,0.0174,0.136,0.455,101.348
Another Day In Paradise,Phil Collins,spotify:track:3wNXqTMimmuTEj1iEPftC7,0.792,0.411,5,-12.384,0,0.033,0.786,0.00212,0.0499,0.41,101.976
Stairway to Heaven,Led Zepagain,spotify:track:0DANcJuMamcL9NyYkEWWTq,0.392,0.479,7,-6.786,1,0.028,0.202,0.00533,0.0767,0.259,97.987
Just Give Me a Reason,P!nk,spotify:track:1qHaLcG3LOeh6ZB8vii5ZZ,0.778,0.547,2,-7.273,1,0.0489,0.346,0.000302,0.132,0.441,95.002
Since I Gave Up Hope I Feel Alot Better,Steve Taylor,spotify:track:12qAxo8fvGYedhhYQnwJLz,0.52,0.933,8,-10.32,1,0.0481,0.176,3.12e-06,0.338,0.795,184.464
Innocence Lost,Steve Taylor,spotify:track:05LnKShwBQgAGaCf37KJbW,0.608,0.716,10,-11.232,1,0.0313,0.112,3.49e-05,0.224,0.728,111.993
Sin For A Season,Steve Taylor,spotify:track:7BCDwOzZDNjhICmOP2Dw0O,0.797,0.441,11,-14.611,1,0.0304,0.00877,0.00083,0.063,0.829,117.699
Hero,Steve Taylor,spotify:track:5syIJeygRTI21cDwFtwsRf,0.668,0.235,2,-17.567,1,0.0529,0.178,2.19e-05,0.161,0.418,79.942
White America,Eminem,spotify:track:15qrWkkYCfmtu1uRpGf48L,0.558,0.615,1,-5.641,1,0.229,0.0103,0.0,0.105,0.16,76.673
Role of A Lifetime,Cast Recording,spotify:track:7DdkL7YtSRFZotD4qZloRG,0.469,0.212,2,-12.13,0,0.0341,0.652,0.00113,0.104,0.147,144.243
Plain Jane Fat Ass,Cast Recording,spotify:track:7IqfeRNfc7ZQ878X38kJd9,0.604,0.489,11,-10.366,0,0.115,0.0959,0.0,0.165,0.306,167.169
Best Kept Secret,Cast Recording,spotify:track:0PTiNSf92CZq2ffN3Lg9GO,0.701,0.295,3,-13.138,1,0.0355,0.621,0.0,0.122,0.152,109.165
Ever After,Cast Recording,spotify:track:56ThAgAaWjACo2UAhBItSh,0.498,0.249,4,-11.578,0,0.047,0.596,0.0,0.109,0.182,76.604
That's All She Wrote (feat. Eminem),T.I.,spotify:track:4UwtMoKBvYi0mMbH2ZI3uB,0.496,0.785,7,-3.472,1,0.306,0.0328,0.0,0.0941,0.357,170.02
Second Chance,Shinedown,spotify:track:0CwYG1UnRmOx8Q1EzElCIL,0.46,0.796,0,-4.501,0,0.0333,0.00107,0.0,0.106,0.182,100.011
Teenagers,My Chemical Romance,spotify:track:7j31rVgGX9Q2blT92VBEA0,0.463,0.857,4,-3.063,1,0.0632,0.0506,0.0,0.184,0.856,111.647
Can't Hold Us - feat. Ray Dalton,Macklemore & Ryan Lewis,spotify:track:3bidbhpOYeV4knp8AIu8Xn,0.641,0.922,2,-4.457,1,0.0786,0.0291,0.0,0.0862,0.847,146.078
Some Nights,fun.,spotify:track:6t6oULCRS6hnI7rm0h5gwl,0.672,0.738,0,-7.045,1,0.0506,0.0178,6.75e-05,0.0927,0.392,107.938
Come & Get It,Selena Gomez,spotify:track:7Gkphzdh5ouurEt7JT49Yu,0.548,0.788,7,-4.115,0,0.0495,0.00905,0.000167,0.0966,0.576,80.047
Thrift Shop (feat. Wanz),Macklemore,spotify:track:1CmUZGtH29Kx36C1Hleqlz,0.781,0.526,6,-6.985,0,0.293,0.0619,0.0,0.0457,0.662,94.992
Mirrors,Justin Timberlake,spotify:track:03gqZZavMKhWbSjdQvpF6O,0.344,0.509,5,-6.607,0,0.0722,0.24,0.0,0.083,0.529,76.004
When I Was Your Man,Bruno Mars,spotify:track:0nJW01T7XtvILxQgC5J7Wh,0.612,0.28,0,-8.648,1,0.0434,0.932,0.0,0.088,0.387,72.795
I Need Your Love (feat. Ellie Goulding),Calvin Harris,spotify:track:05SBRd4fXgn8FX7bf8BCAE,0.695,0.869,8,-5.066,1,0.0483,0.41,0.0,0.237,0.58,124.989
My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy,spotify:track:7s0lDK7y3XLmI7tcsRAbW0,0.558,0.924,9,-4.341,0,0.064,0.0271,3.32e-06,0.537,0.567,151.99
Heart Attack,Demi Lovato,spotify:track:25n4NECujqOxQHdXVIVc9I,0.499,0.776,8,-4.793,1,0.0682,0.0726,0.0,0.281,0.526,173.979
Radioactive,Imagine Dragons,spotify:track:4G8gkOterJn0Ywt6uhqbhp,0.448,0.784,9,-3.686,1,0.0627,0.106,0.000108,0.668,0.236,136.245
Feel This Moment (feat. Christina Aguilera),Pitbull,spotify:track:1lb0sQGUjzJhkNNU6srjeZ,0.668,0.758,7,-3.589,1,0.158,0.0338,0.0,0.204,0.531,135.958
No Love,Eminem,spotify:track:7bHT9osSq1rwT2yaImzqCi,0.522,0.932,11,-2.87,1,0.255,0.119,0.0,0.177,0.33,129.473
Stay,Shaun Reynolds,spotify:track:3ShCJTrnhjvUpL234S4QbJ,0.594,0.344,9,-9.602,0,0.0354,0.927,0.0,0.111,0.32,111.735
I Knew You Were Trouble.,Taylor Swift,spotify:track:4GzDUKkd1RwAtYZMMUBM3W,0.599,0.474,6,-6.794,1,0.0379,0.00532,2.84e-06,0.0216,0.649,154.182
Through the Ghost,Shinedown,spotify:track:33JmIIfnnqxwUSpXo5ttDG,0.517,0.657,7,-6.324,0,0.0258,0.0661,0.0,0.131,0.253,110.999
50 Ways to Say Goodbye - Radio Version,Ways to Say You Died,spotify:track:3IXiopjRC9ggfHgQuvPodS,0.533,0.846,6,-5.593,1,0.0329,0.0369,0.0,0.109,0.604,140.018
Lucy,Skillet,spotify:track:4VqkhvOP0FkcVrDxgJXtxM,0.481,0.71,7,-4.785,1,0.0298,0.183,0.0,0.147,0.188,140.062
Shut Me Up,Mindless Self Indulgence,spotify:track:7AH9Fmka4of4Y25lfhvBUC,0.589,0.797,1,-4.213,1,0.173,0.000673,0.0,0.0246,0.787,174.039
Rain Song,Day Of Fire,spotify:track:68atHlXiiY4UPQ7A6T0C5m,0.464,0.856,3,-4.229,0,0.0315,0.0143,0.0,0.152,0.345,148.188
Hey There Delilah,Kurt Hugo Schneider,spotify:track:2W4zduSruGmaWJv343JW90,0.46,0.41,9,-7.364,0,0.0365,0.904,7.45e-05,0.104,0.445,90.41
Kyoto (feat. Sirah),Skrillex,spotify:track:3FUZpoj9VV0sgc8RqbS3xQ,0.605,0.92,4,-2.298,0,0.0713,0.0012,0.000596,0.483,0.219,174.974
As Long As You Love Me,Justin Bieber,spotify:track:0pwYLVXVknPSGUQb39cePC,0.571,0.873,0,-3.382,0,0.1,0.0811,0.0,0.361,0.613,139.691
Catch My Breath,Kelly Clarkson,spotify:track:7kAYyzVhWr3nSqAC7CUOWK,0.691,0.946,9,-3.221,1,0.0678,0.0259,0.0,0.0897,0.517,124.021
The Lunatics (Have Taken Over the Asylum),Fun Boy Three,spotify:track:297GNKCxzQaumcvLp6b2D5,0.766,0.449,7,-13.552,1,0.0415,0.0645,0.00846,0.0434,0.705,115.449
Drive By,Train,spotify:track:1wAXODAAL6hY64ZdhrnjBO,0.759,0.849,1,-3.198,0,0.0317,0.000983,1.51e-05,0.0864,0.73,122.033
Last Resort,Papa Roach,spotify:track:5eek2X5459T1HoYJk2CKXv,0.581,0.887,4,-3.659,0,0.0624,0.000504,0.00111,0.268,0.724,90.578
Chiron Beta Prime,Jonathan Coulton,spotify:track:1Kku9Y1D75oJ3gqMQWLVOE,0.693,0.712,9,-7.43,1,0.032,0.308,0.0,0.106,0.599,139.908
Austin,Blake Shelton,spotify:track:2WQAknZHrJAEQOFXe0F44P,0.605,0.609,7,-7.063,1,0.0278,0.188,0.0,0.0982,0.275,119.914
I Am a Rock,Simon & Garfunkel,spotify:track:0byOqNZN9ailhoORv5Ps0Z,0.66,0.611,0,-10.309,1,0.0392,0.423,1.11e-05,0.107,0.749,113.898
From God's Perspective,Bo Burnham,spotify:track:6ghnKwHcGX1RLPWjJYKbGd,0.338,0.478,0,-5.895,1,0.0404,0.775,0.0,0.737,0.357,86.862
Rockstar,Nickelback,spotify:track:6n9yCXvLhnYMgJIiIcMu7D,0.616,0.91,0,-3.004,1,0.0386,0.0459,0.0,0.343,0.693,144.072
Finally Moving,Pretty Lights,spotify:track:3WS7spXVlbeC5kjePmHMQW,0.735,0.555,1,-8.84,0,0.0366,0.382,0.856,0.0952,0.523,100.01
Honestly,Stryper,spotify:track:66POKxMki5FryEYtHBZ5GZ,0.446,0.432,3,-11.194,1,0.0268,0.302,0.00668,0.17,0.129,79.856
Blinded,The Bots,spotify:track:1wbdOwwLLuiDq1MgMdVJcd,0.573,0.762,0,-3.748,1,0.0303,0.0285,0.0,0.061,0.381,89.008
On the Radio,Regina Spektor,spotify:track:6uA9lKAYHcBLhxb5KZYygj,0.88,0.413,0,-8.459,1,0.0462,0.586,0.000833,0.0693,0.44,101.991
Don't,Ed Sheeran,spotify:track:1huvTbEYtgltjQRXzrNKGi,0.806,0.608,1,-7.008,1,0.0659,0.0113,0.0,0.635,0.849,95.049
Fight Song,Rachel Platten,spotify:track:37f4ITSlgPX81ad2EvmVQr,0.564,0.714,7,-4.987,1,0.129,0.0549,0.0,0.155,0.33,175.924
Dynamite,Taio Cruz,spotify:track:1DqdF42leyFIzqNDv9CjId,0.754,0.804,4,-3.177,1,0.0853,0.00332,0.0,0.0329,0.818,119.968
Blood Brothers,Papa Roach,spotify:track:0R0Od004mm1yRHEVnpygoj,0.467,0.959,2,-3.336,0,0.0693,0.000427,1.04e-06,0.263,0.646,169.167
When the Tigers Broke Free,Pink Floyd,spotify:track:23ItRtrVX4vF30wGrzfznf,0.164,0.232,0,-16.512,0,0.0499,0.769,0.00268,0.427,0.0552,77.712
Cabaret,Liza Minnelli,spotify:track:5KhMLaz5JNZviJJAmubGPM,0.503,0.378,5,-12.779,1,0.207,0.84,0.0,0.919,0.516,107.311
Stressed Out,Twenty One Pilots,spotify:track:3CRDbSIZ4r5MsZ0YwxuEkn,0.734,0.637,4,-5.677,0,0.141,0.0462,2.29e-05,0.0602,0.648,169.977
Could've Been,Tiffany,spotify:track:1xvGuRbLxTkpb5UdUG7HME,0.474,0.238,1,-15.595,1,0.0271,0.554,3.95e-06,0.107,0.137,99.005
If You Really Loved Me - Live,Tim Minchin,spotify:track:7wOpUrPq4JbTWzFO9wilzm,0.515,0.548,5,-6.819,1,0.0622,0.745,0.0,0.698,0.58,132.539
First Of May,Bee Gees,spotify:track:1bEzxyJJcadq40MFXhTTtr,0.283,0.349,2,-9.32,1,0.0305,0.362,1.62e-05,0.0932,0.306,130.932
First of May,Olivia Ong,spotify:track:1zBdbAhsZ53xtR8OnGGhty,0.367,0.181,8,-11.28,1,0.0325,0.92,0.0,0.145,0.365,132.852
Rock 'n' roll Nerd - Live,Tim Minchin,spotify:track:5P7oDB5bDFHaEJGjnUenTU,0.478,0.469,9,-8.282,0,0.0669,0.709,0.0,0.659,0.423,90.977
Lemon Eyes,Meg Myers,spotify:track:1bwMNFWG2NXOsSz5AgndIy,0.776,0.566,0,-7.561,1,0.0739,0.366,0.0,0.451,0.652,139.937
I Mean It (feat. Remo),G-Eazy,spotify:track:6jmTHeoWvBaSrwWttr8Xvu,0.712,0.562,10,-6.008,1,0.129,0.125,0.0,0.136,0.142,140.0
Heaven Is A Place On Earth,Belinda Carlisle,spotify:track:58mFu3oIpBa0HLNeJIxsw3,0.64,0.81,4,-10.19,1,0.033,0.031,2.22e-06,0.0492,0.804,122.868
I Think We're Alone Now,Tiffany,spotify:track:0n1NI4TnEw0SeXSS4DNhhb,0.646,0.892,2,-5.406,1,0.041,3.76e-05,0.00665,0.0915,0.7,130.297
Another One Bites The Dust - Remastered 2011,Queen,spotify:track:57JVGBtBLCfHw2muk5416J,0.933,0.528,5,-6.472,0,0.162,0.112,0.329,0.163,0.756,109.975
Edge of Seventeen,Stevie Nicks,spotify:track:2id8E4WvczfKHB4LHI7Np3,0.59,0.828,0,-6.28,1,0.0439,0.277,5.57e-06,0.0868,0.636,111.353
Bless the Broken Road,The Mick Lloyd Connection,spotify:track:5w3rC5qQD1hMhm4aRM7Xcw,0.605,0.473,0,-8.718,1,0.0301,0.742,0.0,0.143,0.321,136.043
At Seventeen,Janis Ian,spotify:track:3bRcSxW2FnSSwrzoYT1knV,0.599,0.164,0,-23.035,1,0.0475,0.888,0.000612,0.121,0.317,125.388
Iris,The Goo Goo Dolls,spotify:track:6vrUTGn5p8IrfTZ0J6sIVM,0.291,0.79,11,-5.683,0,0.0363,0.00133,5.61e-06,0.0811,0.513,155.667
The Lazy Song,Bruno Mars,spotify:track:1ExfPZEiahqhLyajhybFeS,0.794,0.711,8,-5.124,0,0.0699,0.3,0.0,0.0955,0.955,174.915
Zombie,The Cranberries,spotify:track:2IZZqH4K02UIYg5EohpNHF,0.307,0.635,7,-8.957,1,0.0339,0.0154,0.00483,0.366,0.304,166.973
Free Bird,Lynyrd Skynyrd,spotify:track:5EWPGh7jbTNO2wakv8LjUI,0.249,0.834,0,-8.21,1,0.0577,0.0738,9.48e-05,0.0924,0.338,118.223
All of Me,John Legend,spotify:track:3U4isOIWM3VvDubwSI3y7a,0.422,0.264,8,-7.064,1,0.0322,0.922,0.0,0.132,0.331,119.93
"Paint It, Black - (Original Single Mono Version)",The Rolling Stones,spotify:track:7lY8aoN3wUR3NY4nUwigPv,0.496,0.859,5,-7.927,0,0.0934,0.0135,0.065,0.349,0.768,159.694
Only Women Bleed,Alice Cooper,spotify:track:59xDvLlKHcLI0c9CSmzxSN,0.334,0.476,7,-8.497,1,0.0308,0.535,0.019,0.278,0.189,147.532
Losing My Religion,R.E.M.,spotify:track:74EV0g12ihUoOUXMprFpZB,0.672,0.841,9,-5.992,0,0.0285,0.0767,0.0,0.135,0.82,125.437
Cleanin' Out My Closet,Eminem,spotify:track:4ni8GyT1Lwn1LVl88MJsQd,0.907,0.766,9,-4.742,0,0.173,0.0813,0.0,0.11,0.875,147.996
Kryptonite,3 Doors Down,spotify:track:6ZOBP3NvffbU4SZcrnt1k6,0.545,0.865,11,-5.708,0,0.0286,0.00664,1.1e-05,0.168,0.543,99.009
Criminal,Britney Spears,spotify:track:6T689Jvh5KrSXyaPtUWZtQ,0.696,0.734,7,-5.294,1,0.0298,0.0485,0.0,0.183,0.711,107.987
Imagine - Remastered 2010,John Lennon,spotify:track:7pKfPomDEeI4TPT6EOYjn9,0.547,0.257,0,-12.358,1,0.0252,0.907,0.183,0.0935,0.169,75.752
The Longest Time,Billy Joel,spotify:track:3YhcVZIWyakQSTUJD1YMt4,0.507,0.327,3,-9.574,1,0.0286,0.183,0.0,0.11,0.627,169.54
Here Without You,3 Doors Down,spotify:track:135cNW8kQtiTId7qcsJfVC,0.469,0.67,10,-4.604,0,0.027,0.00815,0.0,0.132,0.158,144.045
The Art Of Breaking,Thousand Foot Krutch,spotify:track:6W96guiUjEduSKGZoJ4pRk,0.642,0.849,1,-5.196,1,0.0554,0.00253,0.0,0.0717,0.703,107.968
When In Doubt,Thousand Foot Krutch,spotify:track:3WDre2juz0eyL8LbgUmVWT,0.508,0.955,2,-4.603,1,0.143,0.0023,0.0,0.105,0.395,100.665
Unbelievable,Thousand Foot Krutch,spotify:track:3g5XSYduDvlgstpGhxjoMb,0.632,0.947,1,-4.518,0,0.152,0.00538,0.0,0.121,0.79,109.892
Small Town,Thousand Foot Krutch,spotify:track:5n8a18QX7RJWU7j1DtpTlG,0.447,0.716,7,-6.544,1,0.042,0.00189,0.0,0.0889,0.404,156.069
Enter Sandman,Metallica,spotify:track:1hKdDCpiI9mqz1jVHRKG0E,0.579,0.824,6,-8.71,0,0.03,0.00206,0.00903,0.059,0.635,123.331
One,Metallica,spotify:track:64Ret7Tf2M8pDE4aqbW2tX,0.444,0.703,7,-9.443,1,0.0641,0.00112,0.0761,0.127,0.419,106.228
Madame Guillotine,The Scarlet Pimpernel,spotify:track:4pBQ3LtvHofjqAHrL6OBhg,0.571,0.801,4,-6.96,0,0.0484,0.692,2.3e-06,0.108,0.859,119.287
Into the Fire,Douglas Sills,spotify:track:5a74M9A14XYMZQRWHXKTXm,0.354,0.634,2,-10.975,1,0.202,0.815,3.04e-06,0.108,0.441,82.87
The Creation of Man,Douglas Sills,spotify:track:5vfvw9HXnn3LYMv8XLPWo4,0.701,0.434,11,-11.025,1,0.208,0.837,0.0,0.262,0.768,93.586
Falcon in the Dive,Terry Mann,spotify:track:2xfknuaCUIN7UAA2l46UHF,0.494,0.565,1,-9.37,0,0.0417,0.584,2.82e-05,0.0846,0.622,95.997
Hallelujah,Rufus Wainwright,spotify:track:6JUALLwHnidbO4eM09ArIh,0.479,0.186,9,-7.528,0,0.0302,0.874,0.0,0.114,0.435,71.941
Now's the Time,Slick Shoes,spotify:track:7uMSEldDoQbpnRENlsCZxg,0.585,0.941,5,-2.002,1,0.0573,0.00199,0.0,0.508,0.607,135.963
Piano Man,Billy Joel,spotify:track:3FCto7hnn1shUyZL42YgfO,0.334,0.472,0,-8.792,1,0.0277,0.6,3.77e-06,0.317,0.431,179.167
Pinball Wizard,The Who,spotify:track:60C8zGPTdAAmDshHnMuyfc,0.537,0.716,2,-8.766,1,0.038,0.0192,0.0,0.245,0.452,122.873
Ace of Spades,Motörhead,spotify:track:1T45V6RDj1vTLFY6Cw4tNf,0.325,0.991,3,-5.254,0,0.197,0.0146,0.000134,0.0928,0.147,140.228
Comfortably Numb,Pink Floyd,spotify:track:5HNCy40Ni5BZJFw1TKzRsC,0.472,0.366,11,-12.595,0,0.0286,0.15,0.312,0.0837,0.171,127.163
Won't Get Fooled Again - Remix,The Who,spotify:track:1W1GpfPujmgp2vQqcpUhtU,0.702,0.841,2,-9.837,1,0.045,0.256,0.235,0.0584,0.271,134.919
Who'll Stop The Rain,Creedence Clearwater Revival,spotify:track:3Bh6uInhcVBVvLraGZdkKD,0.598,0.797,7,-6.793,1,0.0332,0.0424,0.000407,0.0717,0.622,123.566
No More Mr. Nice Guy,Alice Cooper,spotify:track:5D2eCwqbHcqOnfHOCM6TnV,0.498,0.515,11,-11.985,0,0.0395,0.0936,0.0,0.1,0.616,127.761
Bed of Nails,Alice Cooper,spotify:track:5XeT9fYCeg1jYithrEni7v,0.252,0.971,10,-5.597,0,0.1,0.00295,5.04e-05,0.528,0.305,137.497
The Black Widow,Alice Cooper,spotify:track:1XExJX2yD9o5Si6dAlxAto,0.245,0.865,9,-7.159,1,0.172,0.0112,0.0109,0.334,0.547,181.075
Carry on Wayward Son,Kansas,spotify:track:4DMKwE2E2iYDKY01C335Uw,0.482,0.786,7,-5.735,1,0.032,0.00321,8.88e-05,0.446,0.793,126.755
Smokin' in the Boy's Room,Brownsville Station,spotify:track:1AIGp3gpj1NXJvh3engmUQ,0.575,0.756,2,-9.414,1,0.0544,0.735,0.0401,0.0755,0.844,127.434
Dream In Black & White - Now The Truth Can Be Told Album Version,Steve Taylor,spotify:track:1UO3pKI4mBiPXoaPPMlLL3,0.727,0.419,0,-12.273,1,0.0687,0.311,3.43e-06,0.119,0.284,81.04
"(I've Had) The Time of My Life - From ""Dirty Dancing"" Soundtrack",Bill Medley,spotify:track:4BFMQ15vXr626UOoZL8bUI,0.7,0.781,6,-8.255,0,0.0507,0.0874,0.00342,0.059,0.385,108.695
Billy Don’t Be A Hero,Paper Lace,spotify:track:48RP92BBNCGybHpdQ8NuIO,0.758,0.477,0,-14.741,1,0.138,0.347,0.0,0.122,0.907,119.507
Time Warp,Little Nell,spotify:track:4WFeJTXNHIS2wURtwlAkhu,0.387,0.665,1,-11.323,0,0.225,0.145,0.00167,0.092,0.541,174.896
Wrecking Hotel Rooms,MxPx,spotify:track:4KWWDLTgYHjBxmg27nbLYZ,0.593,0.796,2,-4.771,1,0.0297,0.000125,0.000119,0.161,0.527,125.154
Punk Rawk Show,MxPx,spotify:track:4BeTldZgaLMFUCeVeBbvwB,0.304,0.978,0,-4.078,1,0.119,0.0202,0.0,0.383,0.365,102.381
Two Whole Years,MxPx,spotify:track:0E3mUNKgTdbPwjnIbvgBjk,0.366,0.952,9,-3.363,1,0.0636,0.0156,0.0,0.372,0.577,185.393
Misplaced Memories,MxPx,spotify:track:5lqBrzNdIRUj4mpbUpRBzU,0.33,0.835,11,-4.522,0,0.0407,0.00452,0.0,0.265,0.85,152.746
Butterfly Kisses,Bob Carlisle,spotify:track:1mwCSKK0YRDsgnj2VwyZSU,0.386,0.364,0,-9.624,1,0.032,0.541,0.0,0.347,0.104,81.895
All The Small Things,blink-182,spotify:track:7yCPwWs66K8Ba5lFuU2bcx,0.439,0.891,0,-4.764,1,0.057,0.0122,0.0,0.547,0.695,148.599
First Date,blink-182,spotify:track:1fJFuvU2ldmeAm5nFIHcPP,0.579,0.928,0,-4.344,1,0.0411,0.000715,0.0,0.18,0.882,95.594
Listen To Your Heart,Roxette,spotify:track:78TnMTAFmWUWWCgNXR7D3K,0.539,0.583,1,-4.935,0,0.0275,0.108,0.0,0.111,0.337,86.063
"There's a Fine, Fine Line",Stephanie D'Abruzzo,spotify:track:2W7wqrmruKE07zZCg8rSdm,0.497,0.136,7,-10.015,1,0.04,0.884,0.000454,0.114,0.236,129.628
Mrs. Robinson,The Lemonheads,spotify:track:3672j9qcUufXuGwVoXHaeK,0.495,0.936,4,-7.196,0,0.0401,0.0111,0.000709,0.276,0.837,107.394
Hallelujah,Pentatonix,spotify:track:550rQQCGkrTzvp4SfpOPzx,0.322,0.377,7,-7.385,0,0.0356,0.454,0.0,0.338,0.366,118.669
Crash,The Primitives,spotify:track:4tPHC7YsU3LInUYcIe2UIi,0.375,0.6,11,-9.313,1,0.033,0.0966,0.000972,0.759,0.916,169.976
You're the Inspiration - 2009 Remaster,Chicago,spotify:track:6d7PQZtTbHbcYqaygOW7vs,0.578,0.606,11,-6.402,1,0.0282,0.377,0.0,0.317,0.357,73.912
Total Eclipse of the Heart,Bonnie Tyler,spotify:track:5prTs2HAw2G4idHZyeFp8o,0.435,0.658,8,-8.179,1,0.0661,0.195,0.0,0.102,0.184,130.276
The Devil Went Down to Georgia,The Charlie Daniels Band,spotify:track:6gRACp2CvsIhc7hyw8CecQ,0.517,0.535,0,-12.027,1,0.0494,0.131,0.0,0.085,0.933,135.087
Video Killed The Radio Star,The Buggles,spotify:track:6t1FIJlZWTQfIZhsGjaulM,0.675,0.61,1,-13.811,1,0.085,0.0852,0.0188,0.159,0.344,131.037
Sweet Home Alabama,Lynyrd Skynyrd,spotify:track:7e89621JPkKaeDSTQ3avtg,0.596,0.605,7,-12.145,1,0.0255,0.181,0.000331,0.0863,0.886,97.798
Tainted Love,Soft Cell,spotify:track:4GDmAT5ZZyHdBo32UYDIvM,0.519,0.51,0,-8.057,0,0.0352,0.476,0.0,0.292,0.652,144.524
Everybody Wants To Rule The World,Tears For Fears,spotify:track:4RvWPyQ5RL0ao9LPZeSouE,0.645,0.795,7,-12.095,1,0.0527,0.347,0.00389,0.104,0.535,112.067
"Holding Out for a Hero - From ""Footloose"" Soundtrack",Bonnie Tyler,spotify:track:61UU9qfuXmdFyqCSE7v5gz,0.584,0.813,9,-10.997,0,0.0405,0.0192,1.95e-06,0.0875,0.878,149.676
